Map file name, A* time (s), LRTA time (s), TT IDA time (s), New IDA time (s), A* expended nodes, New IDA expended nodes, A* generated nodes, New IDA generated nodes, A* current memory used, LRTA current memory used, TT current IDA memory used, New IDA current memory used, A* peak memory used, LRTA peak memory used, TT IDA peak memory used, New IDA peak memory used, A* traversed nodes, LRTA traversed nodes, TT IDA traversed nodes, New IDA traversed nodes, A* cost, LRTA cost, TT IDA cost, New IDA cost
map10_40\0.txt,0.0,0.0,0.0010030269622802734,0.0009999275207519531,19,1,26,2,8386,2754,23290,14434,26908,21194,42470,33614,45,61,46,32,18,18,18,18
map10_40\1.txt,0.0,0.0,0.0,0.0,24,1,35,3,818,466,3378,1706,19340,18906,21818,20146,61,66,58,36,18,18,18,18
map10_40\10.txt,0.0010020732879638672,0.0010025501251220703,0.0010027885437011719,0.0,22,1,36,2,746,466,530,1538,20008,19646,19710,19978,60,27,60,29,18,18,18,18
map10_40\11.txt,0.0,0.0,0.0,0.0,23,1,37,6,530,466,642,1602,19052,18906,19082,20042,61,94,56,41,18,18,18,18
map10_40\12.txt,0.0,0.0,0.0,0.0,21,1,30,4,530,466,530,1266,19052,18906,18970,19706,53,61,52,33,18,18,18,18
map10_40\13.txt,0.0,0.0010006427764892578,0.0010013580322265625,0.0,21,1,29,4,530,1586,530,1266,19052,20769,19710,19706,49,122,49,40,18,18,18,18
map10_40\14.txt,0.001003265380859375,0.001003265380859375,0.0009963512420654297,0.0010023117065429688,35,8,45,17,463,494,2610,2946,19691,19671,21793,22129,85,392,151,105,20,20,20,20
map10_40\15.txt,0.0,0.0,0.0,0.0,26,1,35,7,530,466,530,2378,19052,18909,18970,20818,63,101,57,51,18,18,18,18
map10_40\16.txt,0.0,0.0010025501251220703,0.0,0.0,20,1,31,9,530,1362,530,2106,19052,20545,18970,20546,50,191,51,64,18,18,18,18
map10_40\17.txt,0.0,0.0010025501251220703,0.0,0.0,20,1,31,4,530,466,530,1266,19052,19649,18970,19706,50,132,46,44,18,18,18,18
map10_40\18.txt,0.0009996891021728516,0.0010025501251220703,0.0010025501251220703,0.0,24,1,32,2,530,466,530,930,19792,19646,19710,19370,59,81,60,37,18,18,18,18
map10_40\19.txt,0.0,0.0010025501251220703,0.0,0.0,34,8,42,12,530,765,530,1770,19052,19976,18973,20210,86,281,112,87,20,20,20,20
map10_40\2.txt,0.0,0.0010013580322265625,0.0010008811950683594,0.0,32,2,35,8,530,466,530,2546,19052,19649,19713,20986,72,238,121,65,20,20,20,20
map10_40\20.txt,0.0,0.0020051002502441406,0.001001596450805664,0.0010030269622802734,38,9,47,12,530,1435,530,1871,19052,20713,19679,21118,90,370,133,96,20,20,20,20
map10_40\21.txt,0.0,0.0010025501251220703,0.0010025501251220703,0.0010027885437011719,19,1,28,3,463,399,463,1031,19052,19649,19710,20278,47,139,59,40,18,18,18,18
map10_40\22.txt,0.0,0.0010743141174316406,0.0,0.0,32,5,40,9,463,427,463,1535,19052,19705,18973,20042,76,454,108,79,20,20,20,20
map10_40\23.txt,0.0,0.0,0.0,0.0,20,1,33,3,463,399,463,1031,19052,18906,18970,19538,52,62,52,34,18,18,18,18
map10_40\24.txt,0.0,0.0,0.0,0.0,23,1,34,5,463,399,463,1367,19052,18906,18970,19874,59,97,68,52,18,18,18,18
map10_40\25.txt,0.0010027885437011719,0.0010025501251220703,0.0010027885437011719,0.0010027885437011719,33,5,35,9,530,427,530,1535,19792,19705,19713,20782,76,339,115,78,20,20,20,20
map10_40\26.txt,0.0,0.0,0.0010025501251220703,0.0,31,1,41,3,463,399,463,1031,19052,18906,19710,19538,73,72,78,39,18,18,18,18
map10_40\27.txt,0.0,0.0010025501251220703,0.0,0.0,20,1,30,6,409,1183,463,1535,18998,20433,18970,20042,48,207,45,56,18,18,18,18
map10_40\28.txt,0.0010046958923339844,0.0020058155059814453,0.0010004043579101562,0.0,40,13,45,13,463,427,2799,1703,19792,19705,22049,20292,95,500,202,97,22,22,22,22
map10_40\29.txt,0.0,0.0,0.0,0.0,22,1,30,9,463,399,463,2647,19052,18909,18970,21154,52,156,83,69,18,18,18,18
map10_40\3.txt,0.0010025501251220703,0.0020051002502441406,0.0010027885437011719,0.0010030269622802734,40,11,44,10,463,427,1623,1367,19792,19705,20873,20696,97,456,212,96,22,22,22,22
map10_40\30.txt,0.0,0.0,0.0012366771697998047,0.0,20,1,25,1,463,399,463,1303,19052,18906,19710,19810,44,56,44,30,18,18,18,18
map10_40\31.txt,0.0,0.0012242794036865234,0.0010027885437011719,0.0,27,5,38,11,463,427,463,1871,19052,19705,19713,20378,64,448,111,66,20,20,20,20
map10_40\32.txt,0.0005056858062744141,0.003126859664916992,0.002026796340942383,0.0011684894561767578,49,13,53,15,527,715,6184,1935,19859,19959,25428,21267,118,788,375,128,26,26,26,26
map10_40\33.txt,0.0,0.0,0.0,0.0,21,1,27,3,463,345,463,1639,19052,18852,18970,20146,47,29,46,30,18,18,18,18
map10_40\34.txt,0.0,0.0,0.0010967254638671875,0.0,31,11,36,14,517,427,463,1871,19106,18965,19713,20463,81,281,123,105,20,20,20,20
map10_40\35.txt,0.0,0.0012078285217285156,0.0010137557983398438,0.0,39,8,48,16,463,427,463,2543,19052,19705,19713,21053,97,381,169,111,20,20,20,20
